left_index,right_index,left_ns,right_ns,elapsed_ns,signed_delta_ns,absolute_delta_ns,left_interval_ns,right_interval_ns,within_0_5_ms,within_2_ms
1,1,1789458574164733000,1789458574164727000,0,6000,6000,,,True,True
2,2,1789458574198101000,1789458574198095000,33368000,6000,6000,33368000,33368000,True,True
3,3,1789458574231468000,1789458574231461000,66735000,7000,7000,33367000,33366000,True,True
4,4,1789458574264835000,1789458574264831000,100102000,4000,4000,33367000,33370000,True,True
5,5,1789458574298203000,1789458574298198000,133470000,5000,5000,33368000,33367000,True,True
6,6,1789458574331570000,1789458574331566000,166837000,4000,4000,33367000,33368000,True,True
7,7,1789458574364936000,1789458574364932000,200203000,4000,4000,33366000,33366000,True,True
8,8,1789458574398303000,1789458574398299000,233570000,4000,4000,33367000,33367000,True,True
9,9,1789458574431670000,1789458574431666000,266937000,4000,4000,33367000,33367000,True,True
10,10,1789458574465036000,1789458574465033000,300303000,3000,3000,33366000,33367000,True,True
11,11,1789458574498403000,1789458574498399000,333670000,4000,4000,33367000,33366000,True,True
12,12,1789458574531768000,1789458574531765000,367035000,3000,3000,33365000,33366000,True,True
13,13,1789458574565136000,1789458574565133000,400403000,3000,3000,33368000,33368000,True,True
14,14,1789458574598503000,1789458574598499000,433770000,4000,4000,33367000,33366000,True,True
15,15,1789458574631868000,1789458574631866000,467135000,2000,2000,33365000,33367000,True,True
16,16,1789458574665235000,1789458574665232000,500502000,3000,3000,33367000,33366000,True,True
17,17,1789458574698601000,1789458574698598000,533868000,3000,3000,33366000,33366000,True,True
18,18,1789458574731968000,1789458574731966000,567235000,2000,2000,33367000,33368000,True,True
19,19,1789458574765335000,1789458574765332000,600602000,3000,3000,33367000,33366000,True,True
20,20,1789458574798702000,1789458574798699000,633969000,3000,3000,33367000,33367000,True,True
21,21,1789458574832068000,1789458574832065000,667335000,3000,3000,33366000,33366000,True,True
22,22,1789458574865434000,1789458574865431000,700701000,3000,3000,33366000,33366000,True,True
23,23,1789458574898800000,1789458574898798000,734067000,2000,2000,33366000,33367000,True,True
24,24,1789458574932167000,1789458574932165000,767434000,2000,2000,33367000,33367000,True,True
25,25,1789458574965534000,1789458574965532000,800801000,2000,2000,33367000,33367000,True,True
26,26,1789458574998901000,1789458574998899000,834168000,2000,2000,33367000,33367000,True,True
27,27,1789458575032267000,1789458575032265000,867534000,2000,2000,33366000,33366000,True,True
28,28,1789458575065633000,1789458575065632000,900900000,1000,1000,33366000,33367000,True,True
29,29,1789458575099001000,1789458575098999000,934268000,2000,2000,33368000,33367000,True,True
30,30,1789458575132367000,1789458575132366000,967634000,1000,1000,33366000,33367000,True,True
31,31,1789458575165734000,1789458575165732000,1001001000,2000,2000,33367000,33366000,True,True
32,32,1789458575199100000,1789458575199098000,1034367000,2000,2000,33366000,33366000,True,True
33,33,1789458575232467000,1789458575232465000,1067734000,2000,2000,33367000,33367000,True,True
34,34,1789458575265834000,1789458575265832000,1101101000,2000,2000,33367000,33367000,True,True
35,35,1789458575299200000,1789458575299199000,1134467000,1000,1000,33366000,33367000,True,True
36,36,1789458575332567000,1789458575332566000,1167834000,1000,1000,33367000,33367000,True,True
37,37,1789458575365933000,1789458575365932000,1201200000,1000,1000,33366000,33366000,True,True
38,38,1789458575399300000,1789458575399298000,1234567000,2000,2000,33367000,33366000,True,True
39,39,1789458575432667000,1789458575432665000,1267934000,2000,2000,33367000,33367000,True,True
40,40,1789458575466033000,1789458575466032000,1301300000,1000,1000,33366000,33367000,True,True
41,41,1789458575499400000,1789458575499398000,1334667000,2000,2000,33367000,33366000,True,True
42,42,1789458575532766000,1789458575532764000,1368033000,2000,2000,33366000,33366000,True,True
43,43,1789458575566132000,1789458575566132000,1401399000,0,0,33366000,33368000,True,True
44,44,1789458575599503000,1789458575599501000,1434770000,2000,2000,33371000,33369000,True,True
45,45,1789458575632871000,1789458575632871000,1468138000,0,0,33368000,33370000,True,True
46,46,1789458575666240000,1789458575666239000,1501507000,1000,1000,33369000,33368000,True,True
47,47,1789458575699608000,1789458575699607000,1534875000,1000,1000,33368000,33368000,True,True
48,48,1789458575732978000,1789458575732978000,1568245000,0,0,33370000,33371000,True,True
49,49,1789458575766347000,1789458575766349000,1601614000,-2000,2000,33369000,33371000,True,True
50,50,1789458575799715000,1789458575799719000,1634982000,-4000,4000,33368000,33370000,True,True
51,51,1789458575833085000,1789458575833091000,1668352000,-6000,6000,33370000,33372000,True,True
52,52,1789458575866453000,1789458575866460000,1701720000,-7000,7000,33368000,33369000,True,True
53,53,1789458575899823000,1789458575899831000,1735090000,-8000,8000,33370000,33371000,True,True
54,54,1789458575933194000,1789458575933200000,1768461000,-6000,6000,33371000,33369000,True,True
55,55,1789458575966564000,1789458575966570000,1801831000,-6000,6000,33370000,33370000,True,True
56,56,1789458575999933000,1789458575999940000,1835200000,-7000,7000,33369000,33370000,True,True
57,57,1789458576033301000,1789458576033307000,1868568000,-6000,6000,33368000,33367000,True,True
58,58,1789458576066668000,1789458576066675000,1901935000,-7000,7000,33367000,33368000,True,True
59,59,1789458576100035000,1789458576100040000,1935302000,-5000,5000,33367000,33365000,True,True
60,60,1789458576133407000,1789458576133413000,1968674000,-6000,6000,33372000,33373000,True,True
61,61,1789458576166775000,1789458576166780000,2002042000,-5000,5000,33368000,33367000,True,True
62,62,1789458576200145000,1789458576200149000,2035412000,-4000,4000,33370000,33369000,True,True
63,63,1789458576233514000,1789458576233518000,2068781000,-4000,4000,33369000,33369000,True,True
64,64,1789458576266881000,1789458576266885000,2102148000,-4000,4000,33367000,33367000,True,True
65,65,1789458576300249000,1789458576300254000,2135516000,-5000,5000,33368000,33369000,True,True
66,66,1789458576333618000,1789458576333623000,2168885000,-5000,5000,33369000,33369000,True,True
67,67,1789458576366987000,1789458576366990000,2202254000,-3000,3000,33369000,33367000,True,True
68,68,1789458576400360000,1789458576400364000,2235627000,-4000,4000,33373000,33374000,True,True
69,69,1789458576433734000,1789458576433739000,2269001000,-5000,5000,33374000,33375000,True,True
70,70,1789458576467101000,1789458576467106000,2302368000,-5000,5000,33367000,33367000,True,True
71,71,1789458576500468000,1789458576500472000,2335735000,-4000,4000,33367000,33366000,True,True
72,72,1789458576533842000,1789458576533847000,2369109000,-5000,5000,33374000,33375000,True,True
73,73,1789458576567210000,1789458576567215000,2402477000,-5000,5000,33368000,33368000,True,True
74,74,1789458576600582000,1789458576600587000,2435849000,-5000,5000,33372000,33372000,True,True
75,75,1789458576633951000,1789458576633954000,2469218000,-3000,3000,33369000,33367000,True,True
76,76,1789458576667316000,1789458576667320000,2502583000,-4000,4000,33365000,33366000,True,True
77,77,1789458576700690000,1789458576700695000,2535957000,-5000,5000,33374000,33375000,True,True
78,78,1789458576734056000,1789458576734061000,2569323000,-5000,5000,33366000,33366000,True,True
79,79,1789458576767425000,1789458576767427000,2602692000,-2000,2000,33369000,33366000,True,True
80,80,1789458576800790000,1789458576800794000,2636057000,-4000,4000,33365000,33367000,True,True
81,81,1789458576834157000,1789458576834160000,2669424000,-3000,3000,33367000,33366000,True,True
82,82,1789458576867523000,1789458576867527000,2702790000,-4000,4000,33366000,33367000,True,True
83,83,1789458576900891000,1789458576900893000,2736158000,-2000,2000,33368000,33366000,True,True
84,84,1789458576934258000,1789458576934261000,2769525000,-3000,3000,33367000,33368000,True,True
85,85,1789458576967625000,1789458576967627000,2802892000,-2000,2000,33367000,33366000,True,True
86,86,1789458577000991000,1789458577000994000,2836258000,-3000,3000,33366000,33367000,True,True
87,87,1789458577034359000,1789458577034361000,2869626000,-2000,2000,33368000,33367000,True,True
88,88,1789458577067728000,1789458577067729000,2902995000,-1000,1000,33369000,33368000,True,True
89,89,1789458577101095000,1789458577101096000,2936362000,-1000,1000,33367000,33367000,True,True
90,90,1789458577134461000,1789458577134463000,2969728000,-2000,2000,33366000,33367000,True,True
91,91,1789458577167832000,1789458577167833000,3003099000,-1000,1000,33371000,33370000,True,True
92,92,1789458577201202000,1789458577201204000,3036469000,-2000,2000,33370000,33371000,True,True
93,93,1789458577234569000,1789458577234569000,3069836000,0,0,33367000,33365000,True,True
94,94,1789458577267937000,1789458577267939000,3103204000,-2000,2000,33368000,33370000,True,True
95,95,1789458577301305000,1789458577301305000,3136572000,0,0,33368000,33366000,True,True
96,96,1789458577334670000,1789458577334671000,3169937000,-1000,1000,33365000,33366000,True,True
97,97,1789458577368038000,1789458577368037000,3203305000,1000,1000,33368000,33366000,True,True
98,98,1789458577401404000,1789458577401404000,3236671000,0,0,33366000,33367000,True,True
99,99,1789458577434770000,1789458577434771000,3270037000,-1000,1000,33366000,33367000,True,True
100,100,1789458577468138000,1789458577468138000,3303405000,0,0,33368000,33367000,True,True
101,101,1789458577501508000,1789458577501508000,3336775000,0,0,33370000,33370000,True,True
102,102,1789458577534874000,1789458577534874000,3370141000,0,0,33366000,33366000,True,True
103,103,1789458577568242000,1789458577568241000,3403509000,1000,1000,33368000,33367000,True,True
104,104,1789458577601608000,1789458577601607000,3436875000,1000,1000,33366000,33366000,True,True
105,105,1789458577634975000,1789458577634974000,3470242000,1000,1000,33367000,33367000,True,True
106,106,1789458577668342000,1789458577668341000,3503609000,1000,1000,33367000,33367000,True,True
107,107,1789458577701709000,1789458577701707000,3536976000,2000,2000,33367000,33366000,True,True
108,108,1789458577735076000,1789458577735073000,3570343000,3000,3000,33367000,33366000,True,True
109,109,1789458577768442000,1789458577768441000,3603709000,1000,1000,33366000,33368000,True,True
110,110,1789458577801809000,1789458577801808000,3637076000,1000,1000,33367000,33367000,True,True
111,111,1789458577835177000,1789458577835176000,3670444000,1000,1000,33368000,33368000,True,True
112,112,1789458577868544000,1789458577868542000,3703811000,2000,2000,33367000,33366000,True,True
113,113,1789458577901910000,1789458577901909000,3737177000,1000,1000,33366000,33367000,True,True
114,114,1789458577935277000,1789458577935274000,3770544000,3000,3000,33367000,33365000,True,True
115,115,1789458577968644000,1789458577968642000,3803911000,2000,2000,33367000,33368000,True,True
116,116,1789458578002009000,1789458578002007000,3837276000,2000,2000,33365000,33365000,True,True
117,117,1789458578035376000,1789458578035375000,3870643000,1000,1000,33367000,33368000,True,True
118,118,1789458578068742000,1789458578068740000,3904009000,2000,2000,33366000,33365000,True,True
119,119,1789458578102109000,1789458578102108000,3937376000,1000,1000,33367000,33368000,True,True
120,120,1789458578135475000,1789458578135474000,3970742000,1000,1000,33366000,33366000,True,True
121,121,1789458578168841000,1789458578168839000,4004108000,2000,2000,33366000,33365000,True,True
122,122,1789458578202209000,1789458578202206000,4037476000,3000,3000,33368000,33367000,True,True
123,123,1789458578235576000,1789458578235573000,4070843000,3000,3000,33367000,33367000,True,True
124,124,1789458578268948000,1789458578268946000,4104215000,2000,2000,33372000,33373000,True,True
125,125,1789458578302316000,1789458578302314000,4137583000,2000,2000,33368000,33368000,True,True
126,126,1789458578335681000,1789458578335679000,4170948000,2000,2000,33365000,33365000,True,True
127,127,1789458578369048000,1789458578369046000,4204315000,2000,2000,33367000,33367000,True,True
128,128,1789458578402418000,1789458578402416000,4237685000,2000,2000,33370000,33370000,True,True
129,129,1789458578435784000,1789458578435782000,4271051000,2000,2000,33366000,33366000,True,True
130,130,1789458578469151000,1789458578469147000,4304418000,4000,4000,33367000,33365000,True,True
131,131,1789458578502518000,1789458578502514000,4337785000,4000,4000,33367000,33367000,True,True
132,132,1789458578535885000,1789458578535881000,4371152000,4000,4000,33367000,33367000,True,True
133,133,1789458578569252000,1789458578569249000,4404519000,3000,3000,33367000,33368000,True,True
134,134,1789458578602618000,1789458578602614000,4437885000,4000,4000,33366000,33365000,True,True
135,135,1789458578635989000,1789458578635987000,4471256000,2000,2000,33371000,33373000,True,True
136,136,1789458578669356000,1789458578669354000,4504623000,2000,2000,33367000,33367000,True,True
137,137,1789458578702725000,1789458578702723000,4537992000,2000,2000,33369000,33369000,True,True
138,138,1789458578736093000,1789458578736090000,4571360000,3000,3000,33368000,33367000,True,True
139,139,1789458578769459000,1789458578769456000,4604726000,3000,3000,33366000,33366000,True,True
140,140,1789458578802824000,1789458578802821000,4638091000,3000,3000,33365000,33365000,True,True
141,141,1789458578836190000,1789458578836188000,4671457000,2000,2000,33366000,33367000,True,True
142,142,1789458578869557000,1789458578869556000,4704824000,1000,1000,33367000,33368000,True,True
143,143,1789458578902923000,1789458578902922000,4738190000,1000,1000,33366000,33366000,True,True
144,144,1789458578936290000,1789458578936289000,4771557000,1000,1000,33367000,33367000,True,True
145,145,1789458578969656000,1789458578969654000,4804923000,2000,2000,33366000,33365000,True,True
146,146,1789458579003023000,1789458579003020000,4838290000,3000,3000,33367000,33366000,True,True
147,147,1789458579036388000,1789458579036386000,4871655000,2000,2000,33365000,33366000,True,True
148,148,1789458579069754000,1789458579069754000,4905021000,0,0,33366000,33368000,True,True
149,149,1789458579103121000,1789458579103119000,4938388000,2000,2000,33367000,33365000,True,True
150,150,1789458579136486000,1789458579136485000,4971753000,1000,1000,33365000,33366000,True,True
151,151,1789458579169858000,1789458579169857000,5005125000,1000,1000,33372000,33372000,True,True
152,152,1789458579203224000,1789458579203224000,5038491000,0,0,33366000,33367000,True,True
153,153,1789458579236591000,1789458579236590000,5071858000,1000,1000,33367000,33366000,True,True
154,154,1789458579269957000,1789458579269957000,5105224000,0,0,33366000,33367000,True,True
155,155,1789458579303323000,1789458579303322000,5138590000,1000,1000,33366000,33365000,True,True
156,156,1789458579336688000,1789458579336687000,5171955000,1000,1000,33365000,33365000,True,True
157,157,1789458579370059000,1789458579370059000,5205326000,0,0,33371000,33372000,True,True
158,158,1789458579403424000,1789458579403424000,5238691000,0,0,33365000,33365000,True,True
159,159,1789458579436790000,1789458579436790000,5272057000,0,0,33366000,33366000,True,True
160,160,1789458579470156000,1789458579470155000,5305423000,1000,1000,33366000,33365000,True,True
161,161,1789458579503522000,1789458579503521000,5338789000,1000,1000,33366000,33366000,True,True
162,162,1789458579536887000,1789458579536888000,5372154000,-1000,1000,33365000,33367000,True,True
163,163,1789458579570253000,1789458579570252000,5405520000,1000,1000,33366000,33364000,True,True
164,164,1789458579603619000,1789458579603619000,5438886000,0,0,33366000,33367000,True,True
165,165,1789458579636985000,1789458579636985000,5472252000,0,0,33366000,33366000,True,True
166,166,1789458579670351000,1789458579670351000,5505618000,0,0,33366000,33366000,True,True
167,167,1789458579703719000,1789458579703717000,5538986000,2000,2000,33368000,33366000,True,True
168,168,1789458579737084000,1789458579737082000,5572351000,2000,2000,33365000,33365000,True,True
169,169,1789458579770450000,1789458579770448000,5605717000,2000,2000,33366000,33366000,True,True
170,170,1789458579803816000,1789458579803813000,5639083000,3000,3000,33366000,33365000,True,True
171,171,1789458579837183000,1789458579837181000,5672450000,2000,2000,33367000,33368000,True,True
172,172,1789458579870549000,1789458579870547000,5705816000,2000,2000,33366000,33366000,True,True
173,173,1789458579903916000,1789458579903912000,5739183000,4000,4000,33367000,33365000,True,True
174,174,1789458579937284000,1789458579937281000,5772551000,3000,3000,33368000,33369000,True,True
175,175,1789458579970651000,1789458579970649000,5805918000,2000,2000,33367000,33368000,True,True
176,176,1789458580004017000,1789458580004016000,5839284000,1000,1000,33366000,33367000,True,True
177,177,1789458580037385000,1789458580037381000,5872652000,4000,4000,33368000,33365000,True,True
178,178,1789458580070750000,1789458580070748000,5906017000,2000,2000,33365000,33367000,True,True
179,179,1789458580104117000,1789458580104116000,5939384000,1000,1000,33367000,33368000,True,True
180,180,1789458580137483000,1789458580137481000,5972750000,2000,2000,33366000,33365000,True,True
181,181,1789458580170851000,1789458580170849000,6006118000,2000,2000,33368000,33368000,True,True
182,182,1789458580204216000,1789458580204215000,6039483000,1000,1000,33365000,33366000,True,True
183,183,1789458580237584000,1789458580237580000,6072851000,4000,4000,33368000,33365000,True,True
184,184,1789458580270952000,1789458580270949000,6106219000,3000,3000,33368000,33369000,True,True
185,185,1789458580304319000,1789458580304316000,6139586000,3000,3000,33367000,33367000,True,True
186,186,1789458580337683000,1789458580337681000,6172950000,2000,2000,33364000,33365000,True,True
187,187,1789458580371055000,1789458580371053000,6206322000,2000,2000,33372000,33372000,True,True
188,188,1789458580404421000,1789458580404419000,6239688000,2000,2000,33366000,33366000,True,True
189,189,1789458580437787000,1789458580437783000,6273054000,4000,4000,33366000,33364000,True,True
190,190,1789458580471154000,1789458580471152000,6306421000,2000,2000,33367000,33369000,True,True
191,191,1789458580504520000,1789458580504518000,6339787000,2000,2000,33366000,33366000,True,True
192,192,1789458580537886000,1789458580537882000,6373153000,4000,4000,33366000,33364000,True,True
193,193,1789458580571251000,1789458580571249000,6406518000,2000,2000,33365000,33367000,True,True
194,194,1789458580604617000,1789458580604616000,6439884000,1000,1000,33366000,33367000,True,True
195,195,1789458580637983000,1789458580637981000,6473250000,2000,2000,33366000,33365000,True,True
196,196,1789458580671351000,1789458580671349000,6506618000,2000,2000,33368000,33368000,True,True
197,197,1789458580704721000,1789458580704717000,6539988000,4000,4000,33370000,33368000,True,True
198,198,1789458580738089000,1789458580738085000,6573356000,4000,4000,33368000,33368000,True,True
199,199,1789458580771457000,1789458580771453000,6606724000,4000,4000,33368000,33368000,True,True
200,200,1789458580804824000,1789458580804818000,6640091000,6000,6000,33367000,33365000,True,True
201,201,1789458580838191000,1789458580838185000,6673458000,6000,6000,33367000,33367000,True,True
202,202,1789458580871560000,1789458580871554000,6706827000,6000,6000,33369000,33369000,True,True
203,203,1789458580904926000,1789458580904920000,6740193000,6000,6000,33366000,33366000,True,True
204,204,1789458580938293000,1789458580938287000,6773560000,6000,6000,33367000,33367000,True,True
205,205,1789458580971660000,1789458580971653000,6806927000,7000,7000,33367000,33366000,True,True
206,206,1789458581005026000,1789458581005020000,6840293000,6000,6000,33366000,33367000,True,True
207,207,1789458581038395000,1789458581038388000,6873662000,7000,7000,33369000,33368000,True,True
208,208,1789458581071764000,1789458581071758000,6907031000,6000,6000,33369000,33370000,True,True
209,209,1789458581105131000,1789458581105124000,6940398000,7000,7000,33367000,33366000,True,True
210,210,1789458581138497000,1789458581138492000,6973764000,5000,5000,33366000,33368000,True,True
211,211,1789458581171863000,1789458581171856000,7007130000,7000,7000,33366000,33364000,True,True
212,212,1789458581205234000,1789458581205226000,7040501000,8000,8000,33371000,33370000,True,True
213,213,1789458581238600000,1789458581238593000,7073867000,7000,7000,33366000,33367000,True,True
214,214,1789458581271965000,1789458581271960000,7107232000,5000,5000,33365000,33367000,True,True
215,215,1789458581305334000,1789458581305328000,7140601000,6000,6000,33369000,33368000,True,True
216,216,1789458581338702000,1789458581338695000,7173969000,7000,7000,33368000,33367000,True,True
217,217,1789458581372069000,1789458581372062000,7207336000,7000,7000,33367000,33367000,True,True
218,218,1789458581405436000,1789458581405429000,7240703000,7000,7000,33367000,33367000,True,True
219,219,1789458581438804000,1789458581438797000,7274071000,7000,7000,33368000,33368000,True,True
220,220,1789458581472172000,1789458581472164000,7307439000,8000,8000,33368000,33367000,True,True
221,221,1789458581505537000,1789458581505529000,7340804000,8000,8000,33365000,33365000,True,True
222,222,1789458581538903000,1789458581538896000,7374170000,7000,7000,33366000,33367000,True,True
223,223,1789458581572270000,1789458581572261000,7407537000,9000,9000,33367000,33365000,True,True
224,224,1789458581605638000,1789458581605630000,7440905000,8000,8000,33368000,33369000,True,True
225,225,1789458581639006000,1789458581638997000,7474273000,9000,9000,33368000,33367000,True,True
226,226,1789458581672371000,1789458581672363000,7507638000,8000,8000,33365000,33366000,True,True
227,227,1789458581705738000,1789458581705729000,7541005000,9000,9000,33367000,33366000,True,True
228,228,1789458581739103000,1789458581739096000,7574370000,7000,7000,33365000,33367000,True,True
229,229,1789458581772470000,1789458581772462000,7607737000,8000,8000,33367000,33366000,True,True
230,230,1789458581805836000,1789458581805829000,7641103000,7000,7000,33366000,33367000,True,True
231,231,1789458581839202000,1789458581839194000,7674469000,8000,8000,33366000,33365000,True,True
232,232,1789458581872569000,1789458581872561000,7707836000,8000,8000,33367000,33367000,True,True
233,233,1789458581905936000,1789458581905927000,7741203000,9000,9000,33367000,33366000,True,True
234,234,1789458581939303000,1789458581939294000,7774570000,9000,9000,33367000,33367000,True,True
235,235,1789458581972668000,1789458581972661000,7807935000,7000,7000,33365000,33367000,True,True
236,236,1789458582006035000,1789458582006026000,7841302000,9000,9000,33367000,33365000,True,True
237,237,1789458582039401000,1789458582039394000,7874668000,7000,7000,33366000,33368000,True,True
238,238,1789458582072767000,1789458582072759000,7908034000,8000,8000,33366000,33365000,True,True
239,239,1789458582106132000,1789458582106125000,7941399000,7000,7000,33365000,33366000,True,True
240,240,1789458582139499000,1789458582139492000,7974766000,7000,7000,33367000,33367000,True,True
241,241,1789458582172865000,1789458582172857000,8008132000,8000,8000,33366000,33365000,True,True
242,242,1789458582206230000,1789458582206223000,8041497000,7000,7000,33365000,33366000,True,True
243,243,1789458582239597000,1789458582239590000,8074864000,7000,7000,33367000,33367000,True,True
244,244,1789458582272962000,1789458582272955000,8108229000,7000,7000,33365000,33365000,True,True
245,245,1789458582306328000,1789458582306322000,8141595000,6000,6000,33366000,33367000,True,True
246,246,1789458582339694000,1789458582339687000,8174961000,7000,7000,33366000,33365000,True,True
247,247,1789458582373064000,1789458582373057000,8208331000,7000,7000,33370000,33370000,True,True
248,248,1789458582406430000,1789458582406423000,8241697000,7000,7000,33366000,33366000,True,True
249,249,1789458582439798000,1789458582439791000,8275065000,7000,7000,33368000,33368000,True,True
250,250,1789458582473173000,1789458582473164000,8308440000,9000,9000,33375000,33373000,True,True
251,251,1789458582506538000,1789458582506530000,8341805000,8000,8000,33365000,33366000,True,True
252,252,1789458582539907000,1789458582539898000,8375174000,9000,9000,33369000,33368000,True,True
253,253,1789458582573273000,1789458582573264000,8408540000,9000,9000,33366000,33366000,True,True
254,254,1789458582606640000,1789458582606631000,8441907000,9000,9000,33367000,33367000,True,True
255,255,1789458582640006000,1789458582639997000,8475273000,9000,9000,33366000,33366000,True,True
256,256,1789458582673372000,1789458582673363000,8508639000,9000,9000,33366000,33366000,True,True
257,257,1789458582706738000,1789458582706729000,8542005000,9000,9000,33366000,33366000,True,True
258,258,1789458582740106000,1789458582740097000,8575373000,9000,9000,33368000,33368000,True,True
259,259,1789458582773471000,1789458582773462000,8608738000,9000,9000,33365000,33365000,True,True
260,260,1789458582806838000,1789458582806830000,8642105000,8000,8000,33367000,33368000,True,True
261,261,1789458582840205000,1789458582840195000,8675472000,10000,10000,33367000,33365000,True,True
262,262,1789458582873570000,1789458582873562000,8708837000,8000,8000,33365000,33367000,True,True
263,263,1789458582906938000,1789458582906929000,8742205000,9000,9000,33368000,33367000,True,True
264,264,1789458582940308000,1789458582940298000,8775575000,10000,10000,33370000,33369000,True,True
265,265,1789458582973674000,1789458582973665000,8808941000,9000,9000,33366000,33367000,True,True
266,266,1789458583007046000,1789458583007036000,8842313000,10000,10000,33372000,33371000,True,True
267,267,1789458583040412000,1789458583040402000,8875679000,10000,10000,33366000,33366000,True,True
268,268,1789458583073779000,1789458583073768000,8909046000,11000,11000,33367000,33366000,True,True
269,269,1789458583107147000,1789458583107137000,8942414000,10000,10000,33368000,33369000,True,True
270,270,1789458583140513000,1789458583140504000,8975780000,9000,9000,33366000,33367000,True,True
271,271,1789458583173880000,1789458583173869000,9009147000,11000,11000,33367000,33365000,True,True
272,272,1789458583207246000,1789458583207235000,9042513000,11000,11000,33366000,33366000,True,True
273,273,1789458583240616000,1789458583240605000,9075883000,11000,11000,33370000,33370000,True,True
274,274,1789458583273983000,1789458583273972000,9109250000,11000,11000,33367000,33367000,True,True
275,275,1789458583307350000,1789458583307338000,9142617000,12000,12000,33367000,33366000,True,True
276,276,1789458583340715000,1789458583340704000,9175982000,11000,11000,33365000,33366000,True,True
277,277,1789458583374088000,1789458583374078000,9209355000,10000,10000,33373000,33374000,True,True
278,278,1789458583407455000,1789458583407445000,9242722000,10000,10000,33367000,33367000,True,True
279,279,1789458583440821000,1789458583440811000,9276088000,10000,10000,33366000,33366000,True,True
280,280,1789458583474189000,1789458583474178000,9309456000,11000,11000,33368000,33367000,True,True
281,281,1789458583507558000,1789458583507547000,9342825000,11000,11000,33369000,33369000,True,True
282,282,1789458583540924000,1789458583540912000,9376191000,12000,12000,33366000,33365000,True,True
283,283,1789458583574291000,1789458583574279000,9409558000,12000,12000,33367000,33367000,True,True
284,284,1789458583607660000,1789458583607648000,9442927000,12000,12000,33369000,33369000,True,True
285,285,1789458583641026000,1789458583641014000,9476293000,12000,12000,33366000,33366000,True,True
286,286,1789458583674393000,1789458583674379000,9509660000,14000,14000,33367000,33365000,True,True
287,287,1789458583707762000,1789458583707748000,9543029000,14000,14000,33369000,33369000,True,True
288,288,1789458583741127000,1789458583741114000,9576394000,13000,13000,33365000,33366000,True,True
289,289,1789458583774495000,1789458583774482000,9609762000,13000,13000,33368000,33368000,True,True
290,290,1789458583807863000,1789458583807849000,9643130000,14000,14000,33368000,33367000,True,True
291,291,1789458583841228000,1789458583841214000,9676495000,14000,14000,33365000,33365000,True,True
292,292,1789458583874593000,1789458583874581000,9709860000,12000,12000,33365000,33367000,True,True
293,293,1789458583907961000,1789458583907946000,9743228000,15000,15000,33368000,33365000,True,True
294,294,1789458583941331000,1789458583941317000,9776598000,14000,14000,33370000,33371000,True,True
295,295,1789458583974696000,1789458583974683000,9809963000,13000,13000,33365000,33366000,True,True
296,296,1789458584008063000,1789458584008050000,9843330000,13000,13000,33367000,33367000,True,True
297,297,1789458584041429000,1789458584041415000,9876696000,14000,14000,33366000,33365000,True,True
298,298,1789458584074795000,1789458584074782000,9910062000,13000,13000,33366000,33367000,True,True
299,299,1789458584108161000,1789458584108148000,9943428000,13000,13000,33366000,33366000,True,True
300,300,1789458584141529000,1789458584141515000,9976796000,14000,14000,33368000,33367000,True,True
301,301,1789458584174895000,1789458584174881000,10010162000,14000,14000,33366000,33366000,True,True
302,302,1789458584208261000,1789458584208247000,10043528000,14000,14000,33366000,33366000,True,True
303,303,1789458584241629000,1789458584241615000,10076896000,14000,14000,33368000,33368000,True,True
304,304,1789458584274995000,1789458584274982000,10110262000,13000,13000,33366000,33367000,True,True
305,305,1789458584308361000,1789458584308347000,10143628000,14000,14000,33366000,33365000,True,True
306,306,1789458584341728000,1789458584341715000,10176995000,13000,13000,33367000,33368000,True,True
307,307,1789458584375094000,1789458584375080000,10210361000,14000,14000,33366000,33365000,True,True
308,308,1789458584408460000,1789458584408446000,10243727000,14000,14000,33366000,33366000,True,True
309,309,1789458584441826000,1789458584441813000,10277093000,13000,13000,33366000,33367000,True,True
