index,recorded_ns,header_ns,interval_ns
1,1789458574186470616,1789458574164727000,
2,1789458574218626872,1789458574198095000,33368000
3,1789458574251542583,1789458574231461000,33366000
4,1789458574285762097,1789458574264831000,33370000
5,1789458574318426219,1789458574298198000,33367000
6,1789458574351769178,1789458574331566000,33368000
7,1789458574385121012,1789458574364932000,33366000
8,1789458574418776193,1789458574398299000,33367000
9,1789458574452381780,1789458574431666000,33367000
10,1789458574484938369,1789458574465033000,33367000
11,1789458574518730103,1789458574498399000,33366000
12,1789458574551676967,1789458574531765000,33366000
13,1789458574585561680,1789458574565133000,33368000
14,1789458574619088312,1789458574598499000,33366000
15,1789458574651980613,1789458574631866000,33367000
16,1789458574685590938,1789458574665232000,33366000
17,1789458574718772031,1789458574698598000,33366000
18,1789458574752402711,1789458574731966000,33368000
19,1789458574785655306,1789458574765332000,33366000
20,1789458574818608461,1789458574798699000,33367000
21,1789458574852550431,1789458574832065000,33366000
22,1789458574885640409,1789458574865431000,33366000
23,1789458574919370739,1789458574898798000,33367000
24,1789458574952566056,1789458574932165000,33367000
25,1789458574986213725,1789458574965532000,33367000
26,1789458575018989405,1789458574998899000,33367000
27,1789458575052471161,1789458575032265000,33366000
28,1789458575085603462,1789458575065632000,33367000
29,1789458575119057301,1789458575098999000,33367000
30,1789458575152594162,1789458575132366000,33367000
31,1789458575185902032,1789458575165732000,33366000
32,1789458575219347817,1789458575199098000,33366000
33,1789458575252751491,1789458575232465000,33367000
34,1789458575286179316,1789458575265832000,33367000
35,1789458575318979369,1789458575299199000,33367000
36,1789458575353141046,1789458575332566000,33367000
37,1789458575386744310,1789458575365932000,33366000
38,1789458575419231150,1789458575399298000,33366000
39,1789458575452690198,1789458575432665000,33367000
40,1789458575486564865,1789458575466032000,33367000
41,1789458575519494279,1789458575499398000,33366000
42,1789458575553069035,1789458575532764000,33366000
43,1789458575586714991,1789458575566132000,33368000
44,1789458575620802261,1789458575599501000,33369000
45,1789458575654490170,1789458575632871000,33370000
46,1789458575686911728,1789458575666239000,33368000
47,1789458575721313794,1789458575699607000,33368000
48,1789458575753899432,1789458575732978000,33371000
49,1789458575788139523,1789458575766349000,33371000
50,1789458575821489405,1789458575799719000,33370000
51,1789458575854581887,1789458575833091000,33372000
52,1789458575888129967,1789458575866460000,33369000
53,1789458575921710242,1789458575899831000,33371000
54,1789458575954834248,1789458575933200000,33369000
55,1789458575987940735,1789458575966570000,33370000
56,1789458576021816454,1789458575999940000,33370000
57,1789458576054888422,1789458576033307000,33367000
58,1789458576087694095,1789458576066675000,33368000
59,1789458576120851338,1789458576100040000,33365000
60,1789458576155212207,1789458576133413000,33373000
61,1789458576188106170,1789458576166780000,33367000
62,1789458576221595811,1789458576200149000,33369000
63,1789458576254625286,1789458576233518000,33369000
64,1789458576287717078,1789458576266885000,33367000
65,1789458576321611209,1789458576300254000,33369000
66,1789458576355069977,1789458576333623000,33369000
67,1789458576387919565,1789458576366990000,33367000
68,1789458576422170316,1789458576400364000,33374000
69,1789458576455551221,1789458576433739000,33375000
70,1789458576488289038,1789458576467106000,33367000
71,1789458576521349056,1789458576500472000,33366000
72,1789458576556210508,1789458576533847000,33375000
73,1789458576588251395,1789458576567215000,33368000
74,1789458576622354353,1789458576600587000,33372000
75,1789458576654773797,1789458576633954000,33367000
76,1789458576687912038,1789458576667320000,33366000
77,1789458576723010125,1789458576700695000,33375000
78,1789458576754338816,1789458576734061000,33366000
79,1789458576787907863,1789458576767427000,33366000
80,1789458576821202400,1789458576800794000,33367000
81,1789458576854448275,1789458576834160000,33366000
82,1789458576887639416,1789458576867527000,33367000
83,1789458576921118499,1789458576900893000,33366000
84,1789458576954910145,1789458576934261000,33368000
85,1789458576988189016,1789458576967627000,33366000
86,1789458577021774892,1789458577000994000,33367000
87,1789458577055122852,1789458577034361000,33367000
88,1789458577088172060,1789458577067729000,33368000
89,1789458577122026104,1789458577101096000,33367000
90,1789458577154891208,1789458577134463000,33367000
91,1789458577188900116,1789458577167833000,33370000
92,1789458577221989182,1789458577201204000,33371000
93,1789458577254672005,1789458577234569000,33365000
94,1789458577289129670,1789458577267939000,33370000
95,1789458577321816399,1789458577301305000,33366000
96,1789458577354644159,1789458577334671000,33366000
97,1789458577388606197,1789458577368037000,33366000
98,1789458577421701855,1789458577401404000,33367000
99,1789458577455147891,1789458577434771000,33367000
100,1789458577488590842,1789458577468138000,33367000
101,1789458577523001648,1789458577501508000,33370000
102,1789458577555256068,1789458577534874000,33366000
103,1789458577589078919,1789458577568241000,33367000
104,1789458577622146028,1789458577601607000,33366000
105,1789458577655407449,1789458577634974000,33367000
106,1789458577689015432,1789458577668341000,33367000
107,1789458577722081890,1789458577701707000,33366000
108,1789458577755233353,1789458577735073000,33366000
109,1789458577788841596,1789458577768441000,33368000
110,1789458577822385200,1789458577801808000,33367000
111,1789458577855661536,1789458577835176000,33368000
112,1789458577888833534,1789458577868542000,33366000
113,1789458577921964432,1789458577901909000,33367000
114,1789458577955800496,1789458577935274000,33365000
115,1789458577989033708,1789458577968642000,33368000
