left_index,right_index,left_ns,right_ns,elapsed_ns,signed_delta_ns,absolute_delta_ns,left_interval_ns,right_interval_ns,within_0_5_ms,within_2_ms
3077,3077,1789458676807102000,1789458676807009000,102642369000,93000,93000,33368000,33370000,True,True
3078,3078,1789458676840473000,1789458676840380000,102675740000,93000,93000,33371000,33371000,True,True
3079,3079,1789458676873841000,1789458676873748000,102709108000,93000,93000,33368000,33368000,True,True
3080,3080,1789458676907211000,1789458676907120000,102742478000,91000,91000,33370000,33372000,True,True
3081,3081,1789458676940580000,1789458676940490000,102775847000,90000,90000,33369000,33370000,True,True
3082,3082,1789458676973949000,1789458676973860000,102809216000,89000,89000,33369000,33370000,True,True
3083,3083,1789458677007318000,1789458677007231000,102842585000,87000,87000,33369000,33371000,True,True
3084,3084,1789458677040687000,1789458677040599000,102875954000,88000,88000,33369000,33368000,True,True
3085,3085,1789458677074057000,1789458677073970000,102909324000,87000,87000,33370000,33371000,True,True
3086,3086,1789458677107427000,1789458677107340000,102942694000,87000,87000,33370000,33370000,True,True
3087,3087,1789458677140797000,1789458677140711000,102976064000,86000,86000,33370000,33371000,True,True
3088,3088,1789458677174165000,1789458677174079000,103009432000,86000,86000,33368000,33368000,True,True
3089,3089,1789458677207534000,1789458677207449000,103042801000,85000,85000,33369000,33370000,True,True
3090,3090,1789458677240903000,1789458677240818000,103076170000,85000,85000,33369000,33369000,True,True
3091,3091,1789458677274274000,1789458677274189000,103109541000,85000,85000,33371000,33371000,True,True
3092,3092,1789458677307644000,1789458677307560000,103142911000,84000,84000,33370000,33371000,True,True
3093,3093,1789458677341012000,1789458677340930000,103176279000,82000,82000,33368000,33370000,True,True
3094,3094,1789458677374382000,1789458677374299000,103209649000,83000,83000,33370000,33369000,True,True
3095,3095,1789458677407753000,1789458677407669000,103243020000,84000,84000,33371000,33370000,True,True
3096,3096,1789458677441121000,1789458677441039000,103276388000,82000,82000,33368000,33370000,True,True
