start_sec,count,signed_min_ns,signed_median_ns,signed_max_ns,slope_ns_per_sec
0,150,-8000,1000.0,7000,-48.061323027700524
5,150,-1000,7000.0,15000,2693.936305064663
10,150,11000,14000.0,22000,662.8326008948535
15,150,-7000,12000.0,29000,1668.8811917517319
20,150,15000,28000.0,40000,2817.4482602329695
25,150,12000,35000.0,45000,-4291.531358380851
30,149,-818000,-97000,26000,-174099.78570410525
35,150,-1683000,-1423500.0,-830000,-126378.9850124022
40,150,-1293000,-758000.0,-450000,167023.21988373177
45,150,-449000,-254000.0,-114000,64770.73130791075
50,150,-114000,-43000.0,-3000,21951.790069049064
55,150,-5000,-2000.0,19000,2491.3799027035034
60,149,17000,38000,59000,8449.178077165992
65,150,53000,72000.0,82000,5140.887768409298
70,150,33000,61000.0,82000,-6447.277770075472
75,150,42000,55000.0,71000,2541.4599918767567
80,150,47000,59000.0,76000,-3788.714680097984
85,150,33000,49000.0,65000,-4492.011914185069
90,149,-1000,30000,54000,-2263.268525727609
95,150,41000,59000.0,70000,1085.2589224242938
100,99,61000,71000,95000,8736.51426213411
